Epoch	Training Loss	Validation Loss
915	0.8360	0.7139
916	0.8359	0.7138
917	0.8357	0.7136
918	0.8356	0.7135
919	0.8355	0.7134
920	0.8354	0.7133
921	0.8353	0.7131
922	0.8352	0.7130
923	0.8351	0.7129
924	0.8350	0.7127
925	0.8349	0.7126
926	0.8348	0.7125
927	0.8347	0.7124
928	0.8346	0.7122
929	0.8345	0.7121
930	0.8344	0.7120
931	0.8343	0.7119
932	0.8342	0.7117
933	0.8341	0.7116
934	0.8340	0.7115
935	0.8339	0.7114
936	0.8338	0.7112
937	0.8337	0.7111
938	0.8336	0.7110
939	0.8335	0.7109
940	0.8334	0.7107
941	0.8333	0.7106
942	0.8332	0.7105
943	0.8330	0.7104
944	0.8329	0.7102
945	0.8328	0.7101
946	0.8327	0.7100
947	0.8326	0.7098
948	0.8325	0.7097
949	0.8324	0.7096
950	0.8323	0.7095
951	0.8322	0.7093
952	0.8321	0.7092
953	0.8320	0.7091
954	0.8319	0.7090
955	0.8318	0.7088
956	0.8317	0.7087
957	0.8316	0.7086
958	0.8315	0.7085
959	0.8314	0.7083
960	0.8313	0.7082
961	0.8312	0.7081
962	0.8311	0.7080
963	0.8310	0.7078
964	0.8309	0.7077
965	0.8308	0.7076
966	0.8307	0.7075
967	0.8306	0.7073
968	0.8305	0.7072
969	0.8304	0.7071
970	0.8303	0.7070
971	0.8302	0.7068
972	0.8301	0.7067
973	0.8300	0.7066
974	0.8299	0.7065
975	0.8298	0.7063
976	0.8296	0.7062
977	0.8295	0.7061
978	0.8294	0.7060
979	0.8293	0.7058
980	0.8292	0.7057
981	0.8291	0.7056
982	0.8290	0.7055
983	0.8289	0.7053
984	0.8288	0.7052
985	0.8287	0.7051
986	0.8286	0.7050
987	0.8285	0.7048
988	0.8284	0.7047
989	0.8283	0.7046
990	0.8282	0.7045
991	0.8281	0.7043
992	0.8280	0.7042
993	0.8279	0.7041
994	0.8278	0.7040
995	0.8277	0.7038
996	0.8276	0.7037
997	0.8275	0.7036
998	0.8274	0.7035
999	0.8273	0.7034
1000	0.8272	0.7032
1001	0.8271	0.7031
1002	0.8270	0.7030
1003	0.8269	0.7029
1004	0.8268	0.7027
1005	0.8267	0.7026
1006	0.8266	0.7025
1007	0.8265	0.7024
1008	0.8264	0.7022
1009	0.8263	0.7021
1010	0.8262	0.7020
1011	0.8261	0.7019
1012	0.8260	0.7017
1013	0.8259	0.7016
1014	0.8258	0.7015
1015	0.8257	0.7014
1016	0.8256	0.7012
1017	0.8255	0.7011
1018	0.8254	0.7010
1019	0.8253	0.7009
1020	0.8252	0.7008
1021	0.8251	0.7006
1022	0.8250	0.7005
1023	0.8249	0.7004
1024	0.8248	0.7003
1025	0.8247	0.7001
1026	0.8245	0.7000
1027	0.8244	0.6999
1028	0.8243	0.6998
1029	0.8242	0.6996
1030	0.8241	0.6995
1031	0.8240	0.6994
1032	0.8239	0.6993
1033	0.8238	0.6992
1034	0.8237	0.6990
1035	0.8236	0.6989
1036	0.8235	0.6988
1037	0.8234	0.6987
1038	0.8233	0.6985
1039	0.8232	0.6984
1040	0.8231	0.6983
1041	0.8230	0.6982
1042	0.8229	0.6980
1043	0.8228	0.6979
1044	0.8227	0.6978
1045	0.8226	0.6977
1046	0.8225	0.6976
1047	0.8224	0.6974
1048	0.8223	0.6973
1049	0.8222	0.6972
1050	0.8221	0.6971
1051	0.8220	0.6969
1052	0.8219	0.6968
1053	0.8218	0.6967
1054	0.8217	0.6966
1055	0.8216	0.6965
1056	0.8215	0.6963
1057	0.8214	0.6962
1058	0.8213	0.6961
1059	0.8212	0.6960
1060	0.8211	0.6958
1061	0.8210	0.6957
1062	0.8209	0.6956
1063	0.8208	0.6955
1064	0.8207	0.6954
1065	0.8206	0.6952
1066	0.8205	0.6951
1067	0.8204	0.6950
1068	0.8203	0.6949
1069	0.8202	0.6947
1070	0.8201	0.6946
1071	0.8200	0.6945
1072	0.8199	0.6944
1073	0.8198	0.6943
1074	0.8197	0.6941
1075	0.8196	0.6940
1076	0.8195	0.6939
1077	0.8194	0.6938
1078	0.8193	0.6936
1079	0.8192	0.6935
1080	0.8191	0.6934
